English,Spanish
as much as,"por mucho que, por más que"
as much as possible,todo lo posible
as of,"desde, a partir de"
asp,áspid
asparagine,asparagina
asparagus,espárrago
aspartame,aspartamo
aspartate,aspartato
aspartic,aspártico
aspartic acid,ácido aspártico
aspect,aspecto
aspect ratio,cociente de aspecto
aspectual,aspectual
aspen,álamo temblón
as per,conforme
Asperger's syndrome,síndrome de Asperger
aspergilloma,aspergiloma
aspergillosis,aspergilosis
aspergillum,"hisopo, aspersorio"
aspermia,aspermia
aspersion,"calumnia, desdoro"
asphalt,asfalto
asphalt,hormigón asfáltico
asphaltene,asfalteno
asphodel,"asfódelo, gamón"
asphyxia,asfixia
asphyxiate,asfixiar
asphyxiate,asfixiarse
asphyxiation,asfixia
aspic,"áspic, queso de cabeza"
aspie,aspi
aspirant,aspirante
aspirate,aspiración
aspirate,aspirada
aspirate,"aspirar, chupar"
aspirate,"inhalar, aspirar"
aspirate,aspirar
aspirated,aspirado
aspirated h,"h aspirada, hache aspirada"
aspiration,aspiración
aspirator,aspirador
aspire,"aspirar, ambicionar"
aspirin,"aspirina, aspirinar"
asplenia,asplenia
as regards,"en cuanto a, en lo tocante a"
ass,"asno, pollino [esp. a young ass], burro, jumento"
ass,"burro, idiota, imbécil"
ass,culo
ass,polvo
assail,"atacar, asaltar, aturdir"
assailant,"asaltante, atacante"
Assam,Assam
assassin,"asesino, asesina"
assassinate,asesinar
assassination,"asesinato, magnicidio"
assassin bug,"chinche hocicona [Mexico], chinche picuda [El Salvador, Honduras, Guatemala], chinchorro [Ecuador], chipo [Venezuela], chirimacha [Peru], pito [Colombia], vinchuca [Argentina, Bolivia, Chile, Paraguay, Uruguay]"
assault,"asalto, acometimiento"
assault,"asaltar, atacar"
assault rifle,"fusil de asalto, rifle de asalto, fusa"
assay,ensayo
assay,"probar, tratar"
assay,"aquilatar, analizar"
ass-backwards,a tuertas
assegai,azagaya
Asselian,Asseliense
assemble,"ensamblar, construir, montar"
assemble,"reunir, juntar"
assembly,ensamblaje
assembly,asamblea
assembly line,línea de montaje
assent,"asentir, consentir"
assent,asentimiento
assert,"asegurar, afirmar, aseverar"
assert,ejercer; confirmar
assert,"sostener, reafirmar"
assert,"encender, habilitar"
assert,aserción
assertion,"afirmación, aserto"
assertive,"categórico, enérgico, firme"
assertiveness,asertividad
assess,"evaluar, estimar"
assess,determinar
assess,"gravar, imponer"
assessment,"evaluación, valoración"
assessor,"evaluador, evaluadora, tasador, tasadora"
asset,"bien, valor, activo [economy]"
asset-backed,respaldado por activos
assets,"bien, partida del activo"
asseverate,aseverar
assfuck,"engaño, estafa, fraude"
assfuck,"sodomizar, culear, encular [Spain], dar por culo, dar por el culo, dar por detroit [Slang, Mexico]"
assfuck,engañar
asshole,culo
asshole,"pendejo, culero, gilipollas, capullo, boludo, mamawebo"
assiduity,asiduidad
assiduous,"asiduo, diligente"
assiduously,asiduamente
assign,asignar
assign,designar
assign,ceder
assignee,cesionario
assignment,tarea
assignment,cesión
assignor,cedente
assimilation,asimilación
Assisi,Asís
assist,"ayudar, asistir"
assist,asistir
assistance,asistencia
assistant,ayudante
assistant,"ayudante, asistente"
assistantship,ayudantía
ass-licker,"lameculos, chupamedias"
ass-licker,lameculos
associate,asociado
associate,compañero
associate,asociar
associate,"frecuentar, alternar, tratar, codearse, relacionarse"
associate,asociarse
associate's degree,grado de asociado
association,asociación
association football,fútbol
associative,asociativo
assonance,asonancia
assonant,asonante
as soon as,"apenas, en cuanto, tan pronto como, ni bien"
as soon as possible,"lo antes posible, lo más rápido posible, cuanto antes, tan pronto como sea posible, a la brevedad, a la mayor brevedad"
assort,"clasificar, ordenar"
assorted,surtido
assortment,"surtido, variedad, colección"
assuage,"[feelings] calmar, [pain] aliviar, [passion] mitigar, [desire] satisfacer"
assuage,"apaciguar, sosegar, calmar"
as such,como tal
assume,"suponer, dar por sentado"
assume,asumir
assumed,fingido
assumed,supuesto
assumption,asunción
assumption,suposición
assurance,certidumbre
assurance,confianza
assure,asegurar
Assyria,Asiria
Assyrian,asirio
Assyriology,asiriología
Astana,Astaná
astatine,astato
astaxanthin,astaxantina
aster,aster
aster,áster
aster,"-astro, -astra, -astre [sometimes]"
asterisk,asterisco
asterism,"asterismo, constelación"
asterism,asterismo
Asterix,Astérix
astern,hacia atrás
astern,"detrás, a popa"
asteroid,"asteroide, planetoide"
asteroid belt,cinturón de asteroides
as the crow flies,a vuelo de pájaro
asthenosphere,astenosfera
as the saying goes,es un decir
asthma,asma
asthmatic,asmático
as though,como si (+ subjunctive)
astigmatism,astigmatismo
a stitch in time saves nine,más vale prevenir que curar
astonish,"asombrar, sorprender, pasmar"
astonished,asombrado
astonishing,"asombroso, sorprendente"
astonishment,"asombro, estupefacción, sorpresa, extrañeza"
a stopped clock is right twice a day,hasta un reloj parado acierta la hora dos veces al día
astound,"asombrar, pasmar"
astounding,"asombroso, pasmoso, sorprendente, epatante"
astraddle,a horcajadas
astragalar,astragalino
astragalo,astragalo-
astragalocalcaneal,astragalocalcáneo
astragalofibular,astragaloperoneo
astragaloscaphoid,astragaloescafoideo
Astrakhan,Astracán
astral,"astral, estelar"
astray,"perdido, extraviado"
astride,a horcajadas
astringency,astringencia
astringent,astringente
astro,astro-
astrobleme,astroblema
astrocyte,astrocito
astrocytoma,astrocitoma
astroid,astroide
astrolabe,astrolabio
astrologer,"astrólogo, astróloga"
astrological,astrológico
astrological sign,signo zodiacal
astrology,astrología
astronaut,astronauta
astronautic,astronáutico
astronautics,astronáutica
astronomer,"astrónomo, astrónoma"
astronomical,astronómico
astronomically,astronómicamente
astronomical unit,unidad astronómica
astronomy,astronomía
astrophysical,astrofísico
astrophysicist,"astrofísico, astrofísica"
astrophysics,astrofísica
Astur,astur
Asturian,"asturiano, bable"
Asturian,asturiano
Asturianism,asturianismo
Asturias,Asturias
Astur-Leonese,asturleonés
astute,"astuto, sagaz, perspicaz"
astutely,astutamente
astuteness,"astucia, sagacidad, letra menuda"
Asunción,Asunción
asunder,"en dos, en pedazos"
as usual,como de costumbre
as well,también
as well as,así como
as yet,"aún, todavía, hasta ahora, hasta la fecha"
asylee,asilado
asylum,"asilo, santuario"
asylum,manicomio
asylum seeker,solicitante de asilo
asymmetric,asimétrico
asymmetrical,asimétrico
asymmetrically,asimétricamente
asymmetry,asimetría
asymptomatic,asintomático
asymptote,asíntota
asymptotic,asintótico
asynchronous,"asíncrono, asincrónico"
asynchronously,asíncronamente
asynchrony,asincronismo
asyndeton,asíndeton
as you know,como ustedes saben
as you like,como quieras
as you wish,"como quiera, como desee"
at,en
Atacama,Atacama
Atacaman,atacameño
Atacaman,"atacameño, atacameña"
at all,"en realidad, para nada (not at all), en absoluto"
at all costs,"a cualquier precio, a toda costa, cueste lo que cueste, a todo trance"
at a loss,a pérdida
ataman,atamán
at a push,apurando
ataraxia,ataraxia
ataraxy,ataraxia
Atari,Atari
at a time,a la vez
atavism,atavismo
atavistic,atávico
ataxia,ataxia
at bay,a raya
at dark,durante el anochecer
at death's door,a las últimas
ate,"-ado, -ada"
ate,"-ato, -ado"
ate,-ato
ate,"-ar, -ear"
atelectasis,atelectasia
atelophobia,atelofobia
atemoya,"atemoya, anón [Cuba], chirimorinon [Venezuela]"
atemporal,atemporal
at first,al principio
at first glance,a primera vista
at-grade,cruce parejo
at gunpoint,a punta de pistola
athame,"átame, daga"
at hand,a mano
athanor,athanor
atheism,ateísmo
atheist,"ateo, atea"
atheistic,ateo
Athena,Atenea
Athenian,ateniense
Athens,Atenas
atherectomy,aterectomía
athermic,atérmico
atherosclerosis,ateroesclerosis
atherosclerotic,aterosclerótico
a thing or two,"un rato, un rato largo"
athleisure,atletocio
athlete,"deportista, atleta"
athlete,"atleta, deportista"
athlete,atletica
athlete's foot,pie de atleta
athletic,atlético
athletics,atletismo
athletic shoe,zapatilla deportiva
at home,en casa
Athonite,athonita
athwart,"de lado a lado, a través"
ation,-ación
Atkins diet,"régimen de Atkins, dieta de Atkins"
Atlanta,Atlanta
Atlantic,Atlántico
Atlantic,atlántico
Atlantic herring,"arenque, arenque del Atlántico"
Atlantic Ocean,"océano Atlántico, Atlántico"
Atlantic puffin,frailecillo atlántico​
Atlantic salmon,salmón del Atlántico
Atlantic tomcod,tomcod
Atlantis,Atlántida
at large,"suelto, prófugo"
at large,al completo
at large,en general
atlas,atlas
Atlas,"Atlas, Atlante"
Atlas Mountains,Atlas
at last,"por fin, al fin"
at last,"al fin, por fin, al cabo"
atlatl,"propulsor, lanzadardos, estólica, átlatl"
at least,"al menos, por lo menos, como mínimo, cuando menos, siquiera"
at length,"largo tiempo, largo rato, largo y tendido [of speech], extensamente, largamente"
at length,al fin
at length,detalladamente
at loggerheads,"de pique, a la greña"
ATM,"cajero automático, cajero"
atmosphere,"atmósfera, aire"
atmosphere,atmósfera
atmosphere,"atmósfera, ambiente, clima"
atmospheric,atmosférico
atmospheric pressure,"presión atmosférica, presión barométrica"
at most,"como máximo, no más de, a lo sumo, a lo más, cuando mucho, todo lo más"
at night,"por la noche, de noche"
atoll,atolón
atom,átomo
atomic,atómico
Atomic Age,era atómica
atomic bomb,"bomba atómica, bombo"
atomic clock,reloj atómico
atomic energy,energía atómica
atomicity,atomicidad
atomic mass,masa atómica
atomic nucleus,núcleo atómico
atomic number,número atómico
atomic weight,peso atómico
atomization,atomización
atomize,atomizar
atomizer,"pulverizador, atomizador"
atomoxetine,atomoxetina
atonal,atonal
at once,a la vez
at once,"enseguida, ahora mismo"
atone,expiar
at one blast,de un plumazo
atonement,desagravio
atonement,expiación
at one's own risk,por su cuenta y riesgo
atop,encima de
atopic,atópico
atopy,atopia
atovaquone,atovaquona
at random,al azar
atresia,atresia
atrial,auricular
atrium,atrio
atrium,aurícula
atrocious,"atroz, malvado"
atrocious,ofensivo
atrocious,atroz
atrociously,atrozmente
atrocity,atrocidad
atrophic,atrófico
atrophy,atrofia
atrophy,atrofiarse
atropine,atropina
at sign,arroba
at sixes and sevens,hecho un lío
at stake,en juego
attach,"anexar, adjuntar"
attaché,"agregado, agregada"
attachment,"apego, cariño, afición"
attachment,atadura
attachment,archivo adjunto
attachment,ejecución
attack,ataque
attack,atacar
attacker,"atacante, asaltante"
attacker,delantero
attacking midfielder,mediapunta
attack is the best form of defence,la mejor defensa es un buen ataque
attain,"lograr, conseguir"
attainable,"alcanzable, realizable, asequible"
attainder,"muerte civil, deshonra [obsolete]"
attainment,"logro, consecución, realización"
attempt,"intentar, tratar de"
attempt,"tentativa, intento, ensayo, conato"
attempt,atentado
attend,"atender, ocuparse de"
attend,"asistir, acudir"
attend,cursar
attendance,"asistencia, presencia"
attendant,"asistente, guarda"
attendant,"concomitante, inherente"
attendee,asistente
attending,asistente
attention,atención
attention deficit hyperactivity disorder,"trastorno por déficit de atención con hiperactividad, TDAH"
attentive,"atento, solícito"
attentively,atentamente
attentiveness,consideración
attenuation,atenuación
attest,"avalar, atestiguar"
attest,compulsar [legal; referring to documents]
attestation,atestación
attested,atestiguado
attestor,fedatario
at the drop of a hat,en un abrir y cerrar de ojos
at the end of the day,"al fin y al cabo, a fin de cuentas"
at the expense of,"a costa de, a costo de, a cuenta de, a expensas de"
at the feet of,"a los pies de, servicial a, sacrificado a, afectísimo, subyugado"
at the feet of,"del estirpe de, de la sangre de, del parentesco de, de la filiación de, de la escuela de, del estudio de"
at the hands of,en manos de
at the helm,al timón
at the latest,a más tardar
at the mercy of,a merced de
at the moment,en este momento
at the ready,"a punto, al pie del cañón"
at the same time,"a la vez, al mismo tiempo"
at the top of one's lungs,a pleno pulmón
at the top of one's voice,"a voz en cuello, a voz en grito, a grito limpio, a grito pelado"
attic,"ático, desván, zaquizamí, sobrado, covacha"
Attica,Ática
Atticus,Ático
Attila the Hun,Atila
at times,a veces
attire,"atuendo, atavío"
attire,ataviar
attitude,"postura, actitud"
attitude,actitud
attorney,"abogado, abogada, notario"
attorney general,fiscal general
attorney-in-fact,"apoderado, procurador"
attorneyship,"abogacía, jurisprudencia"
attract,atraer
attract,llamar
attract attention,"llamar la atención, hacerse notar"
attraction,atracción
attractive,atractivo
attractively,hermosamente
attractiveness,"atractivo, atractividad"
attributable,"atribuible, imputable"
attribute,atributo
attribute,atribuir
attribution,atribución
attributive,atributivo
attributive,antecedente
attributive adjective,adjetivo atributivo
attrition,abrasión
attrition,deserción
attrition,atrición
attrition,desgaste dental
attune,"adecuar, adaptar"
ATV,"cuatrimoto, cuadriciclo, cuatriciclo, quad"
at war,en guerra
at will,a discreción
atypical,atípico
aubade,alborada
auburn,"castaño, bermejo"
Auckland,Auckland
au contraire,"en contrario, por el contrario, en contra, al contrario"
auction,"subasta, remate, almoneda"
auction,"subastar, rematar"
auctionable,rematable
auctioneer,"pregonero, subastador, rematador"
auctioneer,"rematar, subastar"
auction house,casa de subastas
audacious,audaz
audacious,insolente
audacity,"audacia, desfachatez"
audacity,"osadía, audacia"
audible,"oíble, audible"
audience,"audiencia, público"
audience,público
audience,audiencia
audio,"de sonido, de audio"
audio,audio
audio,audio-
audiobook,audiolibro
audio guide,audioguía
audiology,audiología
audiometer,"audímetro, audiómetro"
audiometry,audiometría
audiomotor,audiomotor
audiovisual,audiovisual
audit,auditoría
audit,auditar
audition,audición
audition,"oído, audición"
audition,hacer una audición
auditor,"auditor, auditora"
auditorium,"auditorio, sala"
auditory,auditivo
auditory,"público, audiencia"
auditory,sala
Audouin's gull,gaviota de Audouin
Augean stables,establos de Augías
auger,"barrena, barreno, taladrador, taladro, berbiquí"
auger,barrena
auger,"taladrar, barrenar"
augite,augita
augment,"aumentar, incrementar"
augmentative,aumentativo
augmented reality,realidad aumentada
Augsburg,Augsburgo
augur,augur
augur,"augurar, presagiar"
augury,"augurio, presagio, agüero"
august,"majestuoso, augusto"
august,"noble, hidalgo"
August,agosto
Augustine,"Augustín, Agustín"
Augustinian,agustino
Augustus,Augusto
auk,alca
aunt,tía
au pair,de au pair
aura,aura
aural,auditivo
aurally,auditivamente
Aurelia,Aurelia
Aurelius,Aurelio
aureola,aureola
au revoir,"adiós, hasta la vista"
auric,áurico
auricle,aurícula
auricular,auricular
auricular muscle,músculo auricular
auriculo,auriculo-
auriculoventricular,"auriculoventricular, auricoventricular"
auriferous,aurífero
Auriga,Auriga
aurochs,uro
aurora,aurora
Aurora,Aurora
Auschwitz,Auschwitz
auscultate,auscultar
auscultation,auscultación
Ausonius,Ausonio
auspices,auspicios
auspicious,"prometedor, propicio"
austere,severo
austere,austero
austerely,austeramente
austerity,austeridad
austral,austral
Australasia,Australasia
austral blackbird,"quireo, tordo patagón"
Australia,Australia
Australian,"australiano, australiana"
Australian,australiano
Australian Capital Territory,Territorio Capital Australiano
Australian Cattle Dog,boyero australiano
Australian dollar,dólar australiano
Australian pelican,pelícano australiano
Australian Shepherd,pastor australiano
australopithecine,australopiteco
austral parakeet,"cachaña, cotorra austral, cotorra cachaña, catita"
Austrasia,Austrasia
Austria,Austria
Austria-Hungary,Austria-Hungría
Austrian,"austriaco, austríaco"
Austrian,"austriaco, austríaco, austriaca, austríaca"
autarchy,"autarquía, autarcía"
autarky,autarquía
auteur,autor
authentic,auténtico
authentically,auténticamente
authenticate,"autentificar, autenticar"
authentic cadence,cadencia auténtica
authenticity,autenticidad
author,"autor, autora, escritor, escritora"
author,escribir
authoress,autora
authorial intent,intención autoral
authoritarian,autoritario
authoritarianism,autoritarismo
authoritative,"autoritativo, oficial"
authoritative,"fidedigno, autorizado"
authoritative,autoritario
authoritatively,"con autoridad, autoritativamente"
authority,autoridad
authorization,autorización
authorize,autorizar
authorized,autorizado
authorship,autoría
autism,autismo
autism spectrum disorder,trastorno del espectro autista
autist,autista
autistic,autista
auto,auto-
autoantibody,autoanticuerpo
autobiographer,autobiógrafo
autobiographical,autobiográfico
autobiography,autobiografía
autoblock,"autobloqueo, bloqueo automático"
autocatalysis,autocatálisis
autocephalous,autocéfalo
autochthon,autóctono
autochthonous,autóctono
autoclave,autoclave
autoconfirm,autoconfirmar
autoconfirmed,autoconfirmado
autocracy,autocracia
autocrat,autócrata
autocratic,autocrático
auto da fe,auto de fe
autodidact,"autodidacto, autodidacta"
autoeroticism,autoerotismo
autofiction,autoficción
autofocus,autofoco
autograph,"firma, autógrafo"
autograph,autografiar
autograph,"autografiar, manuscribir"
autoimmune,autoinmune
autoimmunity,autoinmunidad
auto insurance,"seguro automotor, seguro automotriz"
autological,autológico
autolysis,autolisis
automagical,automágico
automagically,automágicamente
automate,automatizar
automated,automatizado
automated teller machine,"cajero automático, [Chile] redbanc"
automatic,automático
automatic,semi-automática
automatically,"automáticamente, solo"
automation,automatización
automatism,automatismo
automaton,autómata
automobile,"automóvil, carro, coche, auto"
automorphism,automorfismo
automotive,automotor
automotive,"automotor, automotora, automotriz, automovilístico, automovilística"
automotive industry,automoción
autonomic nervous system,sistema nervioso autónomo
autonomism,movimiento autónomo
autonomous,autónomo
autonomous community,comunidad autónoma
autonomy,autonomía
autophagy,autofagia
autopilot,"piloto automático, autopiloto"
autoplasty,autoplastia
autopsy,autopsia
auto racing,automovilismo
auto-reply,respuesta automática
autosomal,autosómico
autosome,autosoma
autosuggestion,autosugestión
autotelic,autotélico
autotomy,autotomía
autotroph,autótrofo
autotrophic,autótrofo
autumn,otoño
autumnal,"otoñal, autumnal"
autumnal equinox,equinoccio otoñal
Auvergne,Auvernia
Auvergne-Rhône-Alpes,Auvernia-Ródano-Alpes
Auvergnese,auvernés
auxiliary,auxiliar
auxiliary,"auxiliar, ayudante"
auxiliary language,"lengua auxiliar, auxilengua"
auxiliary verb,"verbo auxiliar, auxiliar"
auxin,auxina
auxology,auxología
avail,aprovechar
avail,servir
availability,disponibilidad
available,disponible
avalanche,"alud, avalancha"
avant-garde,"vanguardia, anteguardia"
avant-garde,vanguardia
avant-garde,vanguardista
Avar,"idioma avar, idioma ávaro, ávaro"
Avar,ávaro
avarice,"avaricia, codicia"
avaricious,"avaricioso, avaro, avariento, codicioso"
avascular,avascular
avatar,"avatar, encarnación"
avatar,"materialización, personificación"
avatar,"avatar, emblema, símbolo"
Avellino,Avellino
Avempace,Avempace
avenge,vengar
avenger,"vengador, vengadora"
aventurine,"aventurina, venturina"
avenue,avenida
avenue,"vía, camino"
aver,asegurar
average,"promedio, media"
average,medio
average,"ni fu ni fa, promedio"
Averroism,averroísmo
averse,opuesto
aversion,aversión
aversion therapy,terapia de aversión
avert,apartar
avert,evitar
Avestan,avéstico
avian,aviar
avian influenza,gripe aviar
aviary,"pajarera, aviario"
aviation,aviación
aviator,"aviador, aviadora"
Avicenna,Avicena
aviculture,avicultura
avid,ávido
avidly,ávidamente
Avignon,Aviñón
Avilés,Avilés
avitaminosis,avitaminosis
avocado,"aguacate, palta [Argentina, Bolivia, Chile, Ecuador, Paraguay, Perú, Uruguay], cura [Colombia, dated], avocado"
avocado,"aguacate, palto"
avocation,"pasatiempo, afición"
avocet,avoceta
Avogadro's number,"número de Avogadro, constante de Avogadro"
avoid,evitar
avoidable,evitable
avoidance,anulación
avoidance,"evasión, abstinencia"
avoidance,evitación
avoid like the plague,evitar como la peste
avow,"confesar, admitir, reconocer"
avowal,reconocimiento
avulsion,"avulsión, extirpación"
await,"esperar, aguantar"
await,esperar
awake,despierto
awake,"listo, despierto"
awake,despertarse
awake,despertar
awaken,despertar
awaken,despertarse
awakening,despertar
awara,chontilla [Ecuador]
award,laudo
award,"premio, galardón"
award,"fallar, laudar, decretar, sentenciar"
award,"premiar, galardonar"
award,premiar
aware,alerta
aware,"consciente, conocedor, sabedor"
awareness,conciencia
awareness,"conciencia, conocimiento"
awash,inundado
a watched pot never boils,"quien espera, desespera"
away,fuera
away,"lejos, ausente"
away,sin parar
away,lejos
away with the fairies,en la luna
awe,"pavor, temor"
awe,asombro
awe,"asombrar, abrumar"
awesome,"tremendo, piola"
awestruck,asombrado
awful,"horrible, terrible, atroz"
awful,"horrible, espantoso, terrible, tremendo"
awfully,asombroso
awhile,"un rato, algún tiempo"
awkward,"torpe, desmañado"
awkward,"embarazoso, delicado, incómodo"
awkward,"tímido, tímida"
awkward,"difícil, atravesado"
awkwardly,torpemente
awkwardness,torpeza
awl,"lezna, lesna, alesna, punzón"
awn,arista
awning,toldo
AWOL,ausente sin permiso
AWOL,"ausente sin licencia, desertor, desertora"
AWOL,desertor
awry,inadecuadamente
awry,torcido
axe,hacha
axial,axial
axil,axila
axilla,sobaco
axillary,axilar
axinite,axinita
axiological,axiológico
axiom,axioma
axiomatic,axiomático
axiomatically,axiomáticamente
axis,eje
axis,axis
axis of evil,eje del mal
axis of symmetry,eje de simetría
Axis power,potencia del Eje
axle,eje
axolotl,"ajolote, ajolota"
axon,"axón, cilindroeje, neurita"
axonotmesis,axonotmesis
ayah,aleya
ayatollah,ayatolá
aye,"sí, sé"
aye,sí
Aymara,"aimara, aymara, aimará"
Aymara,"idioma aimara, aimara, aymara"
Ayurveda,ayurveda
azalea,azalea
azarole,acerolo
Azawad,Azauad
Azerbaijan,Azerbaiyán
Azerbaijani,azerbaiyano
Azerbaijan SSR,RSS de Azerbaiyán
azide,azida
azimuth,"azimut, acimut"
azimuthal,"azimutal, acimutal"
azitromycin,azitromicina
azole,azol
Azores,las Azores
azotemia,azotemia
Azrael,Azrael
azuki bean,"judía azuki, judía adzuki"
azure,"azur, blao"
azure,azul celeste
azure,azur
azurite,azurita
Álava,Álava
Æsir,æsir
Ávila,Ávila
baa,"balido, be"
baa,balar
baba ganoush,baba ganush
babalawo,babalao
Baba Yaga,Baba Yaga
babble,"mascullar, farfullar"
babble,"charlar, charlatanear, chacharear, charlotear, parlotear"
babble,"murmurar, susurrar"
babble,"charla, parloteo"
babble,"jerigonza, balbuceo"
babble,gorjeo
babbler,balbuceador
babbling,balbuceo
babesiosis,"babesiosis, babesiasis"
babirusa,babirusa
Babism,babismo
baboon,babuino
babouche,babucha
babushka,"anciana, viejita, viejecita, vieja, señora mayor, mujer vieja"
baby,"bebé, nene, niño, niña, bebe [Argentina], guagua [Bolivia, Chile]"
baby,"nene, nena"
baby,"benjamín, benjamina"
baby boom,"explosión de natalidad, baby-boom"
baby boomer,baby boomer
baby bottle,"[especially Spain, Dominican Republic, Mexico, formal in other countries] biberón, [Puerto Rico, colloquial] bibi, [Costa Rica] chupón, [Argentina, Bolivia, Chile, Cuba, Ecuador, Panama, Paraguay, Peru, Uruguay] mamadera, [Mexico, colloquial] mamila, [El Salvador, Guatemala, Nicaragua] pacha, [Honduras, colloquial] pepe, [Cuba] pomo de leche, [Colombia, Venezuela] tetero"
baby boy,"chiquito, niño"
baby face,lampiño
baby face,"técnico, técnica"
baby food,"comida de bébé, papilla"
baby grand,"piano de un cuarto de cola, piano de media cola, colín"
babyish,"infantil, pueril"
Babylon,Babilonia
Babylonia,Babilonia
Babylonian,babilonio
Babylonic,babilónico
baby's breath,"nube, velo de novia"
baby shower,"baby shower, fiesta de pañales [Argenitina]"
babysit,"cuidar de los niños, hacer de canguro"
babysitter,"niñera, canguro [Spain], china [Costa Rica, Guatemala, Honduras, Nicaragua]"
baby talk,maternés
bacanora,bacanora
baccarat,"bacará, bacarrá"
bacchanal,bacanal
bacchic,báquico
Bacchus,Baco
Bacchylides,Baquílides
Bach,Bach
bachata,bachata
bachelor,soltero
bachelor,"bachiller, título de grado, licenciatura"
bachelor,"bachiller, licenciado"
bachelorette party,despedida de soltera
Bachelor of Science,Bachillerato en Ciencias
bachelor party,despedida de soltero
bachelor's degree,licenciatura
bacillophobia,bacilofobia
bacillus,bacilo
back,"de atrás, trasero"
back,"anterior, viejo, atrasado"
back,"apartado, arrinconado, distante"
back,"de atrás, trasero, posterior, vuelto, revertido, atrasado"
back,"hacia atrás, de vuelta, de regreso"
back,atrás
back,"espalda, dorso, lomo"
back,"revés, envés, reverso"
back,"parte de atrás, fondo, trasero"
back,"fondo, extremo, cabo"
back,lomo
back,"respaldo, espaldar"
back,defensa
back,"[vehicle] ir marcha atrás, dar marcha atrás, retroceder"
back,"respaldar, sostener"
backache,dolor de espalda
back and forth,"de acá para allá, de ceca en meca"
backbite,calumniar
backbone,"espina dorsal, columna vertebral"
backbone,columna vertebral
backbone,"coraje, carácter"
backcountry,andurriales
back cover,contraportada
backdam,conuco [Caribbean]
back door,"puerta trasera, puerta de atrás"
backdrop,"telón de fondo, telón de foro"
backdrop,telón de fondo
back end,"dorsal, motor [parasynonym]"
back fire,contrafuego
back fire,deflagración de escape
backfire,"salir el tiro por la culata, tener el efecto contrario, tener efecto retroactivo, tener contraefecto"
back-formation,derivación regresiva
back-formation,derivado regresivo
backgammon,backgammon
background,formación
background,"fondo, trasfondo"
background,antecedente
background,segundo plano
background,fondo
background check,verificación de antecedentes
background music,"hilo musical, música fondal, música de fondo"
backhand,revés
backhanded compliment,crítica velada
backhander,torniscón
back in the day,"entonces, en aquellos tiempos"
backlash,reacción
backlash,juego
backlight,contraluz
backlight,retroiluminación
backlight,retroiluminar
backlit,retroiluminado
back of beyond,quinto pino
back off,retroceder
back out,"dar marcha atrás, desdecirse, retractarse, echarse atrás"
backpack,"mochila, bolsón [El Salvador, Guatemala, Honduras], morral [Colombia, Venezuela]"
backpacker,"mochilero, mochilera"
backpacking,mochileo
backroom,apartado
backscratch,pastelear
backscratcher,"rascaespalda (back scratcher), rascador de espaldas (back scratcher)"
back seat,segundón
backslang,"vesre [Argentina, Uruguay]"
backslash,"barra inversa, barra oblicua inversa, barra invertida, barra revertida, contrabarra"
backspace,retroceso
backsplash,salpicadero
backstitch,pespunte
backstitch,pespuntar
backstory,historia de fondo
backstroke,"dorso, estilo espalda"
back-to-back,consecutivo
back-to-back,espaldera
back to front,al revés
backtrack,retroceso
backtrack,retroceder
backtrack,repasar
back-translate,traducir un texto traducido de vuelta al idioma original
back up,retroceder
back up,respaldar
backup,"respaldo, reserva"
backup,"copia de seguridad, copia de reserva, copia de respaldo"
backup,de reserva
back vowel,vocal posterior
backward,"atrasado, rezagado"
backward,"pasado de moda, retrógrado, anticuado"
backward compatibility,retrocompatibilidad
backward compatible,retrocompatible
backwards,"a contrapelo, hacia atrás"
backwards,invertido
backwards,carca
backwards,hacia atrás
backwater,pueblucho
backwater,ciar
backyard,traspatio
bacon,"tocino, [Cuba, Spain, Dominican Republic] beicon, [Colombia, Dominican Republic, Venezuela] tocineta, [Argentina, Uruguay] panceta ahumada, bacón"
bacon,tocino
bacteraemia,bacteriemia
bacteria,bacterias
bacterial,"bacteriano, bacterial"
bactericidal,bactericida
bactericide,bactericida
bacteriochlorin,bacterioclorina
bacteriochlorophyll,bacterioclorofila
bacteriological,bacteriológico
bacteriologist,bacteriólogo
bacteriology,bacteriología
bacteriophage,bacteriófago
bacteriostatic,bacteriostático
bacterium,bacteria
Bactria,Bactriana
Bactrian camel,camello bactriano
bad,malo
bad,inapropiado
bad,desagradable
bad,defectuoso
Badajoz,Badajoz
bad apple,"manzana podrida, mal elemento, oveja negra"
badass,choro [Chile]
badass,"malvado, atrevido, riesgoso, aventurero"
bad blood,"mala sangre, mala leche, mala uva"
badge,"insignia, pin, medalla, piocha [Chile]"
badge,identificación or credencial
badge,"insignia, chapa, pin, piocha [Chile]"
badger,tejón
badger,"fastidiar, molestar"
bad humour,maña
badlands,tierras baldías
bad luck,"mala pata [informal], mala suerte, mal fario"
badly,"malamente, mal"
badly,mal
bad-mannered,maleducado
badminton,bádminton
badminton player,badmintonista
badness,maldad
bad news,malas noticias
bad news,"embrollón, camorrista"
bad-tempered,"malhumorado, mal temperamento"
bad trip,mal viaje
Baetic,bético
baffle,"desconcertar, confundir"
baffling,desconcertante
bag,"bolsa, [in certain contexts] saco, [Panama - a 'paper bag' in Cuba] cartucho, [Dominican Republic, Ecuador] funda, [Cuba] jaba, [Colombia] talego"
bagasse,bagazo
